wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
28,32,82,7,24,926,0,31.64285714,True,False,0.2199788054811076,False,0.4,False,0.4421501809987716,AdaBoost,AdaBoost,False,0.4421501809987716
6,3,7,1,4,36,0,4.666666667,False,False,0.02106631676030913,False,0.2,True,0.5359619088054379,AdaBoost,AdaBoost,True,0.5359619088054379
4,5,6,4,2,21,1,4.0,False,False,0.0264334849673086,False,0.0,False,0.06699516557271247,AdaBoost,AdaBoost,False,0.06699516557271247
4,9,4,0,4,4,0,0.0,False,False,0.3503452146394008,False,0.4,True,0.5947923238310794,AdaBoost,AdaBoost,True,0.5947923238310794
1,8,1,2,1,1,0,0.0,False,False,0.017967176145241025,False,0.0,False,0.1654219909225446,AdaBoost,AdaBoost,False,0.1654219909225446
23,150,67,5,20,653,1,26.86956522,True,False,0.33626448689331384,False,0.0,False,0.12302038900753905,AdaBoost,AdaBoost,False,0.12302038900753905
5,8,26,7,4,127,2,23.6,False,False,0.03941514634977098,False,0.1,False,0.4971783084576094,AdaBoost,AdaBoost,False,0.4971783084576094
25,18,73,0,18,666,0,25.32,True,False,0.06520302242330465,False,0.1,False,0.29382573974591936,AdaBoost,AdaBoost,False,0.29382573974591936
7,2,13,1,7,86,0,10.42857143,False,False,0.019781342758495645,False,0.0,False,0.04771721234111185,AdaBoost,AdaBoost,False,0.04771721234111185
21,7,22,2,21,141,2,5.2380952380000005,False,False,0.019844833925022096,False,0.1,False,0.07026728872389526,AdaBoost,AdaBoost,False,0.07026728872389526
2,2,4,1,2,11,0,4.5,False,False,0.0204336068266402,False,0.0,False,0.14561052014112813,AdaBoost,AdaBoost,False,0.14561052014112813
8,10,21,5,7,130,0,15.25,False,False,0.01994017597213044,False,0.0,False,0.05496415315844783,AdaBoost,AdaBoost,False,0.05496415315844783
32,16,81,0,27,504,0,14.34375,False,False,0.06998814741353454,False,0.0,False,0.10436106020914723,AdaBoost,AdaBoost,False,0.10436106020914723
13,4,44,2,9,208,0,14.84615385,False,False,0.04585075427347416,False,0.0,False,0.09051898846956076,AdaBoost,AdaBoost,False,0.09051898846956076
19,8,42,7,3,329,1,16.05263158,True,False,0.08413757112533786,False,0.2,False,0.2733117064280879,AdaBoost,AdaBoost,False,0.2733117064280879
2,6,21,3,1,144,0,71.0,False,False,0.016654357339549914,False,0.0,False,0.08077909284467394,AdaBoost,AdaBoost,False,0.08077909284467394
1,4,1,2,1,1,0,0.0,False,False,0.019489090963501432,False,0.0,False,0.12502848469014324,AdaBoost,AdaBoost,False,0.12502848469014324
25,10,58,4,23,257,1,9.08,False,False,0.03932994583368839,False,0.1,False,0.04885929254060038,AdaBoost,AdaBoost,False,0.04885929254060038
8,12,29,5,8,126,1,14.625,False,False,0.028501093633017425,False,0.0,False,0.0353221978308314,AdaBoost,AdaBoost,False,0.0353221978308314
5,26,11,2,5,41,1,6.8,False,False,0.01635852393033102,False,0.0,False,0.2172614052953307,AdaBoost,AdaBoost,False,0.2172614052953307
3,7,8,0,3,34,0,10.33333333,False,False,0.018942479362498158,False,0.0,False,0.030220906783442907,AdaBoost,AdaBoost,False,0.030220906783442907
4,6,10,5,1,27,1,5.5,False,False,0.03061557904529108,False,0.0,False,0.05051258861101655,AdaBoost,AdaBoost,False,0.05051258861101655
5,6,6,1,5,32,1,5.0,False,False,0.021751571900966257,False,0.2,False,0.1824099642626475,AdaBoost,AdaBoost,False,0.1824099642626475
2,4,3,1,1,8,1,2.5,False,False,0.026663454336550558,False,0.0,False,0.07735787277181047,AdaBoost,AdaBoost,False,0.07735787277181047
1,4,1,1,1,1,0,0.0,False,False,0.01977540769478805,False,0.0,False,0.17498326443369774,AdaBoost,AdaBoost,False,0.17498326443369774
10,27,19,2,10,138,1,12.3,False,False,0.3485997005216541,False,0.1,False,0.10438513222646437,AdaBoost,AdaBoost,False,0.10438513222646437
12,3,25,0,12,67,0,4.583333333,False,False,0.023120897457472724,False,0.3,False,0.3056358476130961,AdaBoost,AdaBoost,False,0.3056358476130961
5,14,21,3,5,75,0,13.8,False,False,0.020399188218651703,False,0.0,False,0.10720940164478686,AdaBoost,AdaBoost,False,0.10720940164478686
54,17,137,0,16,1589,1,27.7962963,False,True,0.6279824396138205,True,0.7,False,0.4707538475234202,AdaBoost,AdaBoost,False,0.4707538475234202
5,4,9,3,5,61,0,10.2,False,False,0.018062112050576205,False,0.0,False,0.07418670764670053,AdaBoost,AdaBoost,False,0.07418670764670053
37,26,120,26,24,1123,0,29.10810811,True,False,0.4420579231788848,True,0.6,False,0.31940149811023033,RandomForest,AdaBoost,False,0.31940149811023033
10,9,15,6,8,67,1,5.3,False,False,0.02280065815772403,False,0.0,False,0.09611679551102892,AdaBoost,AdaBoost,False,0.09611679551102892
8,6,32,6,4,221,0,26.375,False,False,0.03384427413224104,False,0.2,False,0.19751843716098352,AdaBoost,AdaBoost,False,0.19751843716098352
2,4,5,2,1,19,1,8.0,False,False,0.02636228559680568,False,0.0,False,0.037205736777420416,AdaBoost,AdaBoost,False,0.037205736777420416
20,8,29,3,20,188,1,8.0,False,False,0.019052347000419374,False,0.3,False,0.2845176851321509,AdaBoost,AdaBoost,False,0.2845176851321509
3,3,4,1,2,16,0,4.0,False,False,0.02076151457801564,False,0.0,False,0.12649735988569316,AdaBoost,AdaBoost,False,0.12649735988569316
3,9,23,8,2,125,2,39.66666667,False,False,0.024547001247487068,False,0.1,False,0.06550074301144028,AdaBoost,AdaBoost,False,0.06550074301144028
8,32,104,29,3,955,2,118.0,True,False,0.43547759664418334,False,0.2,False,0.3949403776844272,AdaBoost,AdaBoost,False,0.3949403776844272
8,16,52,0,5,336,1,40.625,False,False,0.3870409168855473,True,0.6,True,0.784904955246158,Voting,Voting,False,0.3870409168855473
7,5,20,4,5,110,0,14.0,False,False,0.0248676826775588,False,0.0,False,0.18375544625381526,AdaBoost,AdaBoost,False,0.18375544625381526
3,16,38,0,1,159,0,52.0,False,False,0.03425790469549077,False,0.0,False,0.09290929266961667,AdaBoost,AdaBoost,False,0.09290929266961667
5,6,24,0,5,88,0,16.2,False,False,0.026452471820548933,False,0.1,False,0.20048639728768308,AdaBoost,AdaBoost,False,0.20048639728768308
9,20,71,20,5,476,0,51.88888889,False,False,0.4124342937445857,False,0.1,False,0.4831025254942558,AdaBoost,AdaBoost,False,0.4831025254942558
16,27,123,23,2,1851,0,114.6875,False,True,0.5753151874610456,False,0.3,False,0.3811624729212981,AdaBoost,AdaBoost,False,0.3811624729212981
4,5,22,2,3,100,0,24.0,False,False,0.0252918246099616,False,0.2,False,0.040433606287557135,AdaBoost,AdaBoost,False,0.040433606287557135
23,10,74,9,14,608,0,25.08695652,False,False,0.4098205420103905,True,0.6,True,0.6731729381886499,Voting,Voting,False,0.4098205420103905
7,7,34,6,2,288,1,39.85714286,False,False,0.03657139266375126,False,0.1,False,0.4142545684928737,AdaBoost,AdaBoost,False,0.4142545684928737
10,10,38,0,9,207,0,19.3,False,False,0.03318914332131631,False,0.0,False,0.05357630785228228,AdaBoost,AdaBoost,False,0.05357630785228228
3,4,19,3,3,57,0,17.66666667,False,False,0.02362528761257146,False,0.0,False,0.014365950822502619,AdaBoost,AdaBoost,False,0.014365950822502619
1,5,1,2,1,1,0,0.0,False,False,0.022572762871217348,False,0.0,False,0.05030764195076705,AdaBoost,AdaBoost,False,0.05030764195076705
11,4,25,1,7,215,0,18.0,False,False,0.02804088511590849,False,0.1,False,0.07293520233919279,AdaBoost,AdaBoost,False,0.07293520233919279
4,2,6,1,3,23,1,4.5,False,False,0.02212693542772885,False,0.0,False,0.017267869211097388,AdaBoost,AdaBoost,False,0.017267869211097388
11,2,15,0,11,95,0,7.272727272999999,False,False,0.0175123330354921,False,0.0,False,0.11571157286792536,AdaBoost,AdaBoost,False,0.11571157286792536
18,23,83,5,15,638,0,34.33333333,False,False,0.09589757267529714,False,0.4,False,0.2428653968917418,AdaBoost,AdaBoost,False,0.2428653968917418
11,7,27,0,10,85,0,6.6363636360000005,False,False,0.3581202673431761,False,0.3,False,0.22421861590318384,AdaBoost,AdaBoost,False,0.22421861590318384
4,4,13,0,3,41,1,9.0,False,False,0.02532710919117641,False,0.0,False,0.05183473813638068,AdaBoost,AdaBoost,False,0.05183473813638068
12,7,29,5,11,171,1,12.75,False,False,0.0247265400526876,False,0.0,False,0.053800095310003376,AdaBoost,AdaBoost,False,0.053800095310003376
5,6,15,3,5,48,0,8.6,False,False,0.022551250645139725,False,0.0,False,0.1533380392638258,AdaBoost,AdaBoost,False,0.1533380392638258
35,16,103,0,28,824,1,22.11428571,True,True,0.6840039301182496,False,0.3,True,0.5151270928391574,AdaBoost,AdaBoost,True,0.5151270928391574
11,6,19,2,11,67,1,4.909090909,False,False,0.020094761228518408,False,0.0,False,0.010560360914126984,AdaBoost,AdaBoost,False,0.010560360914126984
74,40,190,30,72,1443,8,18.17567568,True,True,0.7837816431828593,False,0.5,True,0.6025764479164151,AdaBoost,AdaBoost,True,0.6025764479164151
9,19,39,13,5,178,1,18.55555556,True,False,0.04142028560094542,False,0.1,False,0.2066583267238701,AdaBoost,AdaBoost,False,0.2066583267238701
13,28,37,6,6,172,1,12.0,False,False,0.3846292184734543,False,0.1,False,0.10350783434677764,AdaBoost,AdaBoost,False,0.10350783434677764
5,3,13,2,5,48,0,8.4,False,False,0.02117718028864983,False,0.0,False,0.1764509274906619,AdaBoost,AdaBoost,False,0.1764509274906619
4,11,17,3,2,77,1,18.0,False,False,0.0287152292676808,False,0.0,False,0.003796431730922268,AdaBoost,AdaBoost,False,0.003796431730922268
9,83,9,3,9,9,0,0.0,False,True,0.7092162574099742,False,0.3,False,0.3398004885016427,AdaBoost,AdaBoost,False,0.3398004885016427
7,3,22,0,7,68,0,8.714285713999999,False,False,0.023604598816313608,False,0.2,False,0.17625606561814094,AdaBoost,AdaBoost,False,0.17625606561814094
15,9,40,7,12,286,1,17.86666667,False,False,0.03200348801321632,False,0.1,False,0.2098638364485292,AdaBoost,AdaBoost,False,0.2098638364485292
27,33,78,13,24,394,5,13.37037037,False,True,0.7159121717561431,False,0.3,False,0.4033625012497637,AdaBoost,AdaBoost,False,0.4033625012497637
31,97,31,16,31,33,0,0.0,False,False,0.3585796226737991,False,0.1,False,0.02575910887406664,AdaBoost,AdaBoost,False,0.02575910887406664
9,17,28,8,7,127,1,12.88888889,False,False,0.03136848541209581,False,0.0,False,0.16030369327685792,AdaBoost,AdaBoost,False,0.16030369327685792
37,19,107,0,30,659,0,16.40540541,False,False,0.3103019404395615,False,0.4,False,0.4194901344374024,AdaBoost,AdaBoost,False,0.4194901344374024
2,3,16,1,1,98,0,48.0,False,False,0.016122675798271147,False,0.0,False,0.040060249341704976,AdaBoost,AdaBoost,False,0.040060249341704976
15,13,64,0,14,411,0,26.0,True,False,0.3801912314984669,False,0.1,False,0.21439088830401576,AdaBoost,AdaBoost,False,0.21439088830401576
2,30,65,29,2,412,3,203.5,False,False,0.3423625710662459,False,0.2,False,0.26934561761899,AdaBoost,AdaBoost,False,0.26934561761899
8,6,22,1,6,145,0,16.375,False,False,0.024050751592076213,False,0.0,False,0.16003435402447494,AdaBoost,AdaBoost,False,0.16003435402447494
5,6,14,4,4,60,2,10.2,False,False,0.025938466809490763,False,0.0,False,0.11752770490819008,AdaBoost,AdaBoost,False,0.11752770490819008
7,10,63,8,5,1034,0,146.71428569999995,False,False,0.3537710019267346,False,0.4,True,0.5479906021772322,AdaBoost,AdaBoost,True,0.5479906021772322
14,2,19,1,7,97,0,5.5,False,False,0.02315692585254529,False,0.0,False,0.18162408599901966,AdaBoost,AdaBoost,False,0.18162408599901966
20,4,30,2,18,183,0,7.95,False,False,0.017311942709200136,False,0.1,False,0.06345629811511554,AdaBoost,AdaBoost,False,0.06345629811511554
5,13,30,10,3,149,1,28.6,False,False,0.030685298401427818,False,0.0,False,0.11241529969016614,AdaBoost,AdaBoost,False,0.11241529969016614
13,14,35,4,13,204,2,14.53846154,False,False,0.030174304828842938,False,0.0,False,0.07081755000907991,AdaBoost,AdaBoost,False,0.07081755000907991
12,7,63,0,5,939,0,76.33333333,False,False,0.08852657358568156,False,0.3,True,0.5604886916040128,AdaBoost,AdaBoost,True,0.5604886916040128
2,2,18,1,2,99,0,47.5,False,False,0.015801881442248127,False,0.0,False,0.04032155909257077,AdaBoost,AdaBoost,False,0.04032155909257077
5,7,26,6,3,158,0,30.2,False,False,0.02472038981108189,False,0.0,False,0.05048917331959304,AdaBoost,AdaBoost,False,0.05048917331959304
6,27,6,2,6,6,0,0.0,False,False,0.02380434463653209,False,0.1,False,0.3636549031848415,AdaBoost,AdaBoost,False,0.3636549031848415
4,4,5,1,2,17,1,3.0,False,False,0.0233402644595936,False,0.0,False,0.1028691329758558,AdaBoost,AdaBoost,False,0.1028691329758558
11,7,12,2,11,74,1,5.272727273,False,False,0.017715741852287525,False,0.0,False,0.13880976986810264,AdaBoost,AdaBoost,False,0.13880976986810264
12,19,12,6,12,12,0,0.0,False,False,0.017386146080028173,False,0.4,False,0.4651320608459311,AdaBoost,AdaBoost,False,0.4651320608459311
1,7,1,1,1,1,0,0.0,False,False,0.021911108097839204,False,0.0,False,0.028406801194183193,AdaBoost,AdaBoost,False,0.028406801194183193
6,21,6,5,6,6,0,0.0,False,False,0.02157446345167667,False,0.1,False,0.037479294309004825,AdaBoost,AdaBoost,False,0.037479294309004825
2,15,34,14,2,326,2,161.0,False,False,0.32774983850732203,False,0.1,False,0.07543408830509263,AdaBoost,AdaBoost,False,0.07543408830509263
5,10,44,7,5,305,2,59.4,True,False,0.03095496452299297,False,0.4,False,0.4333305481399094,AdaBoost,AdaBoost,False,0.4333305481399094
4,5,8,0,4,20,0,4.0,False,False,0.02054057160121591,False,0.1,False,0.10782854182626816,AdaBoost,AdaBoost,False,0.10782854182626816
5,6,17,2,4,112,0,21.4,False,False,0.021378572607940672,False,0.0,False,0.02441626282287285,AdaBoost,AdaBoost,False,0.02441626282287285
8,3,35,1,4,303,0,36.5,True,False,0.03027157396226823,False,0.1,False,0.05983137554628235,AdaBoost,AdaBoost,False,0.05983137554628235
8,2,13,0,6,69,0,7.375,False,False,0.0200804305619404,False,0.0,False,0.1634481976648925,AdaBoost,AdaBoost,False,0.1634481976648925
5,2,22,1,5,97,0,18.2,False,False,0.022110608608489585,False,0.2,False,0.1678061332870251,AdaBoost,AdaBoost,False,0.1678061332870251
5,3,6,3,5,24,2,3.4,False,False,0.02144671190646056,False,0.0,False,0.21452171447935456,AdaBoost,AdaBoost,False,0.21452171447935456
3,2,6,0,1,21,0,5.666666667,False,False,0.021935926434212258,False,0.0,False,0.1748159254913933,AdaBoost,AdaBoost,False,0.1748159254913933
4,12,5,1,4,24,1,4.5,False,False,0.022667728324360342,False,0.0,False,0.032235207889531145,AdaBoost,AdaBoost,False,0.032235207889531145
4,3,11,2,4,48,0,11.0,False,False,0.01957883969939397,False,0.0,False,0.05403175461324152,AdaBoost,AdaBoost,False,0.05403175461324152
3,3,7,0,3,17,0,4.666666667,False,False,0.020430146929638817,False,0.0,False,0.05898485028328676,AdaBoost,AdaBoost,False,0.05898485028328676
8,8,8,5,8,8,0,0.0,False,False,0.01730029475764327,False,0.1,False,0.1903432789955568,AdaBoost,AdaBoost,False,0.1903432789955568
6,1,7,0,6,34,0,4.333333333,False,False,0.017445411392239173,False,0.2,False,0.1245573898155377,AdaBoost,AdaBoost,False,0.1245573898155377
3,8,20,6,3,155,0,50.0,False,False,0.016587337681790486,False,0.0,False,0.03802280788773876,AdaBoost,AdaBoost,False,0.03802280788773876
3,5,9,4,3,40,2,11.33333333,False,False,0.02338674501195269,False,0.0,False,0.06616367698635503,AdaBoost,AdaBoost,False,0.06616367698635503
1,4,2,3,1,9,0,7.0,False,False,0.01921592998562109,False,0.0,False,0.01898781893953828,AdaBoost,AdaBoost,False,0.01898781893953828
47,15,108,0,45,896,0,17.63829787,False,True,0.7134597359899958,False,0.4,False,0.4348213417739381,AdaBoost,AdaBoost,False,0.4348213417739381
